NA;"Groningen";"Fryslân";"Drenthe";"Overijssel";"Gelderland";"Utrecht";"Noord-Holland";"Zuid-Holland";"Zeeland";"Noord-Brabant";"Limburg";"Flevoland";"sum"
"2013";"23";"27";"12";"25";"56";"28";"53";"65";"13";"67";"33";"6";"408"
"2014";"23";"24";"12";"25";"56";"28";"53";"63";"13";"67";"33";"6";"403"
"2015";"23";"24";"12";"25";"54";"28";"51";"58";"13";"66";"33";"6";"393"
"2016";"23";"24";"12";"25";"54";"28";"48";"58";"13";"66";"33";"6";"390"
"2017";"23";"24";"12";"25";"54";"28";"48";"58";"13";"64";"33";"6";"388"
"2018";"20";"20";"12";"25";"53";"28";"48";"58";"13";"64";"33";"6";"380"
"2019";"12";"18";"12";"25";"51";"26";"47";"52";"13";"62";"31";"6";"355"
"2020";"12";"18";"12";"25";"51";"26";"47";"52";"13";"62";"31";"6";"355"
"2021";"10";"18";"12";"25";"51";"26";"47";"52";"13";"61";"31";"6";"352"
"2022";"10";"18";"12";"25";"51";"26";"45";"52";"13";"56";"31";"6";"345"
"2023";"10";"18";"12";"25";"51";"26";"44";"50";"13";"56";"31";"6";"342"
"2024";"10";"18";"12";"25";"51";"26";"44";"50";"13";"56";"31";"6";"342"
